flat_tax,poverty_rate_change,gini_change
0.0,0.2902344803467538,0.12291112316563857
0.01,0.30121439237555514,0.12247252774540796
0.02,0.3131174409635284,0.12178820794468836
0.03,0.2964022693787994,0.11799552869439522
0.04,0.3189739003427842,0.1177771398565064
0.05,0.27780507640061813,0.11079018427664322
0.06,0.28977169282447796,0.10999202560976418
0.07,0.30643104381244807,0.10910122539340095
0.08,0.30039522891840864,0.10649021942709402
0.09,0.29920463797736413,0.10382498461094025
0.1,0.3327892806716025,0.10598873037474998
0.11,0.301817467684274,0.09920211837530046
0.12,0.3202231082716088,0.09925957785815931
0.13,0.3295666600249905,0.09848071424077909
0.14,0.3384040586646749,0.09661122672941103
0.15,0.34499777149695354,0.09494946591360143
0.16,0.3285604200491785,0.09030047189673285
0.17,0.32864847466113023,0.08701553754566738
0.18,0.321008367623405,0.08244004432514096
0.19,0.3104167030640627,0.07829481106673541
0.2,0.30389922498879973,0.07425748949997124
0.21,0.2900212690036621,0.0693772239541397
0.22,0.276082706474514,0.06430747178325924
0.23,0.2409529130836347,0.05638868659303142
0.24,0.17669108137017492,0.04555334796127952
0.25,0.11397868311828185,0.03364934777945017
0.26,0.05248865217767153,0.02100643134363267
0.27,0.013696649448384274,0.010569883164589289
0.28,-0.03545751754899571,0.00021629237542319935
0.29,-0.0858403374366464,-0.009910709613867308
0.3,-0.12295519527116563,-0.0201122347407241
0.31,-0.1559405527359456,-0.030522282589186767
0.32,-0.1983368556693335,-0.04008360106165443
0.33,-0.2390593975011462,-0.0502537386676819
0.34,-0.2741724923632414,-0.05989585029943212
0.35000000000000003,-0.32297363601395507,-0.0697825942955953
0.36,-0.3740581775803384,-0.07940676019171244
0.37,-0.40972870657294513,-0.08863656426444644
0.38,-0.4556683228095669,-0.09863215691827065
0.39,-0.48348672793221187,-0.10670747193982599
0.4,-0.5190826815316607,-0.11612760821338597
0.41000000000000003,-0.5587630389618792,-0.12527705354436813
0.42,-0.5958564177352048,-0.13481342751499203
0.43,-0.620805485036658,-0.14247867096844835
0.44,-0.658949796197864,-0.15184196665966576
0.45,-0.6840911400050882,-0.1604455091391226
0.46,-0.7296819923638435,-0.16916124007968236
0.47000000000000003,-0.7480654481142524,-0.17855270437351944
0.48,-0.7759512950388664,-0.18713724812097388
0.49,-0.8031448645441467,-0.19509710613306086
0.5,-0.8181772510688816,-0.20408609241814035
